         TRACER     LAYER               GRADIENT
            ch4        14  0.267046301574385E-26
            ch4        15  0.431726457963222E-31
            ch4        16  0.537362025620745E-36
            ch4        17  0.517177194663264E-41
            ch4        18  0.394005042309184E-46
            ch4        19  0.243788563960424E-51
            ch4        20  0.127513695819309E-56
            ch4        21  0.124940438214555E-61
            ch4        22  0.123800857694131E-66
            ch4        23  0.791088273912514E-72
            ch4        24  0.348424464977051E-77
            ch4        25  0.113070747226934E-82
