         TRACER     LAYER    INITIAL MMR      FINAL MMR
             h2        16  0.6455110E-06  0.6455111E-06
             h2        17  0.6440720E-06  0.6440720E-06
             h2        18  0.6440728E-06  0.6440728E-06
             h2        19  0.6452635E-06  0.6452635E-06
             h2        20  0.6477563E-06  0.6477568E-06
             h2        21  0.6520527E-06  0.6520527E-06
             h2        22  0.6590284E-06  0.6590310E-06
             h2        23  0.6662340E-06  0.6662412E-06
             h2        24  0.6720123E-06  0.6720146E-06
             h2        25  0.6770896E-06  0.6770900E-06
             oh         1  0.6739456E-16  0.8518472E-15
             oh         2  0.6817269E-16  0.8553642E-15
             oh         3  0.7238004E-16  0.9176074E-15
             oh         4  0.7799696E-16  0.1008918E-14
             oh         5  0.8381822E-16  0.7400598E-16
             oh         6  0.9047592E-16  0.6266381E-16
             oh         7  0.9982003E-16  0.6928086E-16
             oh         8  0.1142022E-15  0.7937728E-16
             oh         9  0.1380769E-15  0.9598286E-16
             oh        10  0.1810491E-15  0.1255732E-15
             oh        11  0.2605924E-15  0.1800406E-15
             oh        12  0.3947797E-15  0.2724535E-15
             oh        13  0.6036895E-15  0.4197353E-15
             oh        14  0.9625023E-15  0.6768491E-15
             oh        15  0.1359473E-14  0.9961729E-15
             oh        16  0.1150808E-14  0.9363351E-15
             oh        17  0.6710952E-15  0.6033196E-15
             oh        18  0.1473953E-14  0.1345800E-14
             oh        19  0.9852657E-14  0.7935300E-14
             oh        20  0.2404239E-10  0.1360162E-10
             oh        21  0.5459299E-10  0.6226596E-10
             oh        22  0.8010248E-10  0.8226151E-10
             oh        23  0.7405548E-10  0.7571223E-10
             oh        24  0.3643683E-10  0.3465386E-10
             oh        25  0.1607742E-10  0.1464731E-10
            ho2         1  0.5318819E-10  0.1908995E-09
            ho2         2  0.5351698E-10  0.1912698E-09
            ho2         3  0.5530076E-10  0.1987292E-09
            ho2         4  0.5761169E-10  0.2096321E-09
            ho2         5  0.5987626E-10  0.5614220E-10
            ho2         6  0.6228715E-10  0.5161306E-10
            ho2         7  0.6546088E-10  0.5432189E-10
            ho2         8  0.7001900E-10  0.5817605E-10
            ho2         9  0.7694598E-10  0.6397598E-10
            ho2        10  0.8788778E-10  0.7304207E-10
            ho2        11  0.1046579E-09  0.8686128E-10
            ho2        12  0.1275196E-09  0.1058163E-09
            ho2        13  0.1558863E-09  0.1298571E-09
            ho2        14  0.1939754E-09  0.1625168E-09
            ho2        15  0.2267208E-09  0.1939329E-09
            ho2        16  0.2050199E-09  0.1848302E-09
            ho2        17  0.1513794E-09  0.1434637E-09
            ho2        18  0.2034730E-09  0.1940557E-09
            ho2        19  0.3413444E-09  0.3249424E-09
            ho2        20  0.1155775E-09  0.1964884E-09
            ho2        21  0.1015027E-10  0.1355203E-10
            ho2        22  0.3588535E-10  0.4261850E-10
            ho2        23  0.3570116E-10  0.3852611E-10
            ho2        24  0.8652733E-11  0.8570979E-11
            ho2        25  0.1975456E-11  0.1894870E-11
           h2o2         1  0.8436385E-08  0.8639890E-08
           h2o2         2  0.8436211E-08  0.8640450E-08
           h2o2         3  0.8435239E-08  0.8645932E-08
           h2o2         4  0.8433968E-08  0.8652058E-08
           h2o2         5  0.8432509E-08  0.8439553E-08
           h2o2         6  0.8430832E-08  0.8436333E-08
           h2o2         7  0.8428194E-08  0.8433930E-08
           h2o2         8  0.8428564E-08  0.8434669E-08
           h2o2         9  0.8781198E-08  0.8787881E-08
           h2o2        10  0.9833336E-08  0.9840979E-08
           h2o2        11  0.1172818E-07  0.1173733E-07
           h2o2        12  0.1278570E-07  0.1279684E-07
           h2o2        13  0.1042798E-07  0.1044137E-07
           h2o2        14  0.7909161E-08  0.7925343E-08
           h2o2        15  0.3074544E-08  0.3091417E-08
           h2o2        16  0.4919204E-09  0.5023109E-09
           h2o2        17  0.7197416E-10  0.7604741E-10
           h2o2        18  0.5972039E-10  0.6455936E-10
           h2o2        19  0.1928008E-10  0.2766791E-10
           h2o2        20  0.7757248E-12  0.1920223E-11
           h2o2        21  0.1447373E-12  0.1492333E-12
           h2o2        22  0.5084797E-12  0.5283234E-12
           h2o2        23  0.9357179E-13  0.1033650E-12
           h2o2        24  0.2905820E-14  0.3172623E-14
           h2o2        25  0.9636434E-16  0.1028777E-15
             n2         1  0.1741872E-01  0.1741872E-01
             n2         2  0.1741871E-01  0.1741871E-01
             n2         3  0.1741871E-01  0.1741871E-01
             n2         4  0.1741871E-01  0.1741871E-01
             n2         5  0.1741871E-01  0.1741871E-01
             n2         6  0.1741871E-01  0.1741871E-01
             n2         7  0.1741870E-01  0.1741870E-01
             n2         8  0.1741872E-01  0.1741872E-01
             n2         9  0.1741868E-01  0.1741868E-01
             n2        10  0.1741869E-01  0.1741869E-01
             n2        11  0.1741903E-01  0.1741903E-01
             n2        12  0.1741895E-01  0.1741895E-01
             n2        13  0.1741876E-01  0.1741876E-01
             n2        14  0.1741853E-01  0.1741853E-01
             n2        15  0.1741898E-01  0.1741898E-01
             n2        16  0.1741869E-01  0.1741869E-01
             n2        17  0.1741892E-01  0.1741892E-01
             n2        18  0.1741864E-01  0.1741864E-01
             n2        19  0.1741859E-01  0.1741859E-01
             n2        20  0.1741899E-01  0.1741899E-01
             n2        21  0.1741897E-01  0.1741897E-01
             n2        22  0.1741953E-01  0.1741953E-01
             n2        23  0.1741898E-01  0.1741898E-01
             n2        24  0.1741902E-01  0.1741902E-01
             n2        25  0.1741888E-01  0.1741888E-01
             ar         1  0.1474600E-01  0.1474600E-01
             ar         2  0.1474600E-01  0.1474600E-01
             ar         3  0.1474600E-01  0.1474600E-01
             ar         4  0.1474600E-01  0.1474600E-01
             ar         5  0.1474601E-01  0.1474601E-01
             ar         6  0.1474600E-01  0.1474600E-01
             ar         7  0.1474600E-01  0.1474600E-01
             ar         8  0.1474601E-01  0.1474601E-01
             ar         9  0.1474598E-01  0.1474598E-01
             ar        10  0.1474599E-01  0.1474599E-01
             ar        11  0.1474615E-01  0.1474615E-01
             ar        12  0.1474601E-01  0.1474601E-01
             ar        13  0.1474629E-01  0.1474629E-01
             ar        14  0.1474561E-01  0.1474561E-01
             ar        15  0.1474600E-01  0.1474600E-01
             ar        16  0.1474599E-01  0.1474599E-01
             ar        17  0.1474610E-01  0.1474610E-01
             ar        18  0.1474597E-01  0.1474597E-01
             ar        19  0.1474594E-01  0.1474594E-01
             ar        20  0.1474616E-01  0.1474616E-01
             ar        21  0.1474622E-01  0.1474622E-01
             ar        22  0.1474626E-01  0.1474626E-01
             ar        23  0.1474624E-01  0.1474624E-01
             ar        24  0.1474614E-01  0.1474614E-01
             ar        25  0.1474627E-01  0.1474627E-01
        h2o_ice         1  0.0000000E+00  0.0000000E+00
        h2o_ice         2  0.0000000E+00  0.0000000E+00
        h2o_ice         3  0.0000000E+00  0.0000000E+00
        h2o_ice         4  0.0000000E+00  0.0000000E+00
        h2o_ice         5  0.0000000E+00  0.0000000E+00
        h2o_ice         6  0.1401298E-44  0.0000000E+00
        h2o_ice         7 -0.5605194E-44  0.0000000E+00
        h2o_ice         8 -0.2567179E-41  0.3369142E-40
        h2o_ice         9 -0.8501900E-36 -0.1757107E-35
        h2o_ice        10  0.5769815E-31  0.2284161E-30
        h2o_ice        11  0.1196530E-27  0.2617456E-27
        h2o_ice        12  0.7228662E-25  0.7213646E-25
        h2o_ice        13  0.3236889E-08  0.1909592E-07
        h2o_ice        14  0.1968142E-04  0.3345393E-04
        h2o_ice        15  0.1129184E-03  0.1100839E-03
        h2o_ice        16  0.8047831E-04  0.7338327E-04
        h2o_ice        17  0.4017496E-04  0.3543634E-04
        h2o_ice        18  0.1703840E-04  0.1447480E-04
        h2o_ice        19  0.5530814E-05  0.4406672E-05
        h2o_ice        20  0.1297831E-05  0.8604007E-06
        h2o_ice        21  0.1603943E-09  0.7320854E-07
        h2o_ice        22  0.3009674E-06  0.4828410E-06
        h2o_ice        23  0.5430187E-06  0.1312898E-06
        h2o_ice        24  0.2595848E-07  0.5912743E-32
        h2o_ice        25  0.0000000E+00  0.8768688E-31
        h2o_vap         1  0.4114089E-04  0.4117978E-04
        h2o_vap         2  0.4123153E-04  0.4121981E-04
        h2o_vap         3  0.4138865E-04  0.4138857E-04
        h2o_vap         4  0.4142095E-04  0.4142094E-04
        h2o_vap         5  0.4141908E-04  0.4141909E-04
        h2o_vap         6  0.4146233E-04  0.4146233E-04
        h2o_vap         7  0.4160581E-04  0.4160581E-04
        h2o_vap         8  0.4198044E-04  0.4198044E-04
        h2o_vap         9  0.4295900E-04  0.4295903E-04
        h2o_vap        10  0.4747781E-04  0.4747785E-04
        h2o_vap        11  0.5844954E-04  0.5844949E-04
        h2o_vap        12  0.6145871E-04  0.6145865E-04
        h2o_vap        13  0.4762523E-04  0.4763559E-04
        h2o_vap        14  0.2644846E-04  0.2294949E-04
        h2o_vap        15  0.7211177E-05  0.6353890E-05
        h2o_vap        16  0.2386897E-05  0.2203958E-05
        h2o_vap        17  0.7847138E-06  0.7816107E-06
        h2o_vap        18  0.2065577E-06  0.2410753E-06
        h2o_vap        19  0.6766163E-07  0.1063056E-06
        h2o_vap        20  0.1216784E-06  0.2251581E-06
        h2o_vap        21  0.2938798E-06  0.3282863E-06
        h2o_vap        22  0.6525845E-06  0.4952468E-06
        h2o_vap        23  0.1297000E-06  0.1468786E-06
        h2o_vap        24  0.1433201E-06  0.1692840E-06
        h2o_vap        25  0.4389097E-06  0.4389105E-06
            ch4         1  0.3686391E-09  0.3686391E-09
            ch4         2  0.3686391E-09  0.3686391E-09
            ch4         3  0.3686390E-09  0.3686390E-09
            ch4         4  0.3686389E-09  0.3686389E-09
            ch4         5  0.3686391E-09  0.3686391E-09
            ch4         6  0.3686390E-09  0.3686390E-09
            ch4         7  0.3686391E-09  0.3686391E-09
            ch4         8  0.3686393E-09  0.3686393E-09
            ch4         9  0.3686462E-09  0.3686462E-09
            ch4        10  0.3686500E-09  0.3686500E-09
            ch4        11  0.3686538E-09  0.3686537E-09
            ch4        12  0.3686546E-09  0.3686546E-09
            ch4        13  0.3686499E-09  0.3686499E-09
            ch4        14  0.3686444E-09  0.3686444E-09
            ch4        15  0.3686539E-09  0.3686540E-09
            ch4        16  0.3686464E-09  0.3686464E-09
            ch4        17  0.3686396E-09  0.3686396E-09
            ch4        18  0.3686086E-09  0.3686086E-09
            ch4        19  0.3685624E-09  0.3685624E-09
            ch4        20  0.3685386E-09  0.3685386E-09
            ch4        21  0.3686293E-09  0.3686293E-09
            ch4        22  0.3686594E-09  0.3686595E-09
            ch4        23  0.3686493E-09  0.3686493E-09
            ch4        24  0.3686554E-09  0.3686554E-09
            ch4        25  0.3685724E-09  0.3685724E-09
